Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct,Explaination,Image
"A 26-year-old previously healthy man is brought to the ED after being found unconscious outside a bar after having vomited on himself. He is drunk and afebrile, and his pulse oximetry reveals a saturation of 96%. His chest x-ray reveals a minimal right-sided streaky infiltrate (Fig. 4-1). Which of the following is true? ",The patient likely has a developing bacterial pneumonia and requires broad-spectrum antibiotics. ,"The patient likely has a chemical pneumonitis caused by the aspiration of acidic gastric contents, which may later develop into pneumonia. ",Antibiotics should be started early in chemical pneumonitis to prevent the subsequent development of bacterial superinfection. ,Corticosteroids have been proven to be beneficial in patients such as these. ,This patient is probably suffering from a combination of chemical pneumonitis and bacterial infection. ,B,"This patient has aspiration pneumonitis, which is a chemical pneumonitis caused by the aspiration of acidic gastric contents. The severity of lung injury increases as the pH drops, and most studies agree that the pH must be <2.5 to cause significant injury. Chemical aspiration most commonly occurs in patients who have depressed levels of consciousness, as in this patient, and in young persons. Aspiration is otherwise a common problem among elderly persons in nursing homes after strokes. Though they are widely used, antibiotics and corticosteroids are not routinely recommended in patients with aspiration pneumonitis. Gastric acid inhibits bacterial growth, so gastric contents are sterile under normal conditions. Unless the patient has a coexisting condition promoting gastric bacterial growth, antibiotics should not be used. Such conditions include patients on antacid therapy, patients receiving enteral feeding, and patients with known gastroparesis or small bowel obstruction. Corticosteroids are also widely used in patients with chemical aspiration, although they have not been proven to be beneficial. (Figure from Harris JH, Harris WH. The Radiology of Emergency Medicine. 4th ed. Philadelphia, PA: Lippincott Williams & Wilkins; 1999:547, with permission.) ",t4-10.png
"A 50-year-old male without past medical history presents with acute onset of cough, shortness of breath, and fever for 2 days. He has crackles in his left middle lung field and chest x-ray is shown in Figure 4-Which of the following is the most likely etiologic cause? ",Streptococcus pneumoniae ,Haemophilus influenza ,Staphylococcus aureus ,Mycoplasma pneumoniae ,Klebsiella pneumoniae ,A,"The patient has community acquired pneumonia (CAP). The location is likely in the lingula, as the left heart border is obscured. S. pneumoniae is still the most common cause in patients over 40 years of age. H. influenzae is a very common cause in patients with any chronic medical disease such as chronic obstructive pulmonary disease (COPD) or diabetes. S. aureus is primarily a nosocomial pathogen but is common in the setting of concomitant influenza infection. Mycoplasma is one of the most common causes of CAP in young adults (<40 years) and usually causes an interstitial pattern on chest x-ray. Klebsiella is seen far more often in the setting of COPD or alcoholism. (Figure from Harris JH, Harris WH. The Radiology of Emergency Medicine. 4th ed. Philadelphia, PA: Lippincott Williams & Wilkins; 1999, with permission.) ",t4-11.png
"A 23-year-old female presents with fever, myalgias, and headache for 3 days. She then developed a rash, which started on her wrists and ankles and has now spread all over her body. The nonblanching rash is shown in Figure 4-Which of the following is the most likely etiology? ",Rickettsia rickettsii ,Borrelia burgdorferi ,Coxsackievirus ,N. gonorrhoeae ,N. meningitidis ,A,"In the setting of a headache and nonspecific symptoms, the onset of a petechial rash at the wrists and ankles with subsequent central spread is consistent with a diagnosis of Rocky Mountain spotted fever (RMSF). This tick-borne illness is caused by R. rickettsii. Treatment of RMSF is with doxycycline and admission to the hospital. B. burgdorferi is the causative bacterium of Lyme disease. Coxsackievirus causes herpangina and myocarditis. Gonococcus may cause a vesicular rash in association with septic arthritis, cervicitis, or pelvic inflammatory disease (PID). Meningococcus may cause a petechial rash with signs and symptoms of meningitis, but the onset is much more acute and severe than RMSF. (Figure courtesy of Arthur Eisen, MD. In: Council ML, Sheinbein D, Cornelius LA, eds. The Washington Manual of Dermatology Diagnostics. Philadelphia: Wolters Kluwer, 2016). ",t4-12.png
Physical examination of a patient with reactive arthritis (formerly known as Reiter syndrome) may be expected to reveal: ,Waxy plaques on the palms and soles ,Sausage-like swelling of the fingers ,"Painful, shallow ulcers in the mouth ",Conjunctival injection ,All of the above ,E,"Reactive arthritis is the name which is now given to arthritis, urethritis, and conjunctivitis that occurs after an infection (thus, “reactive”) and which was formerly called Reiter syndrome. Patients with reactive arthritis frequently have conjunctivitis early in the disease course. Uveitis (or iritis) may also occur but is less common and unrelated. Roughly 10% of patients will develop keratoderma blennorrhagica, waxy plaques most commonly present on the palms and soles. Sausage shaped inflammation of the digits (dactylitis) is another common occurrence in reactive arthritis. Finally, painless ulcers may develop in the mouth or on the penis (where they are called balanitis circinata), where they more frequently occur in uncircumcised men. ",
Which of the following x-ray findings is diagnostic for pulmonary embolism (PE)? ,Atelectasis ,Hampton hump (pleural wedge density) ,Elevated hemidiaphragm ,Westermark sign (oligemia) ,None of the above ,E,"Although >75% of patients with PE will have an abnormal chest x-ray, no single finding is diagnostic for PE. Westermark sign (decreased peripheral vascular markings in the lung field affected by the embolus) and Hampton hump (a wedge-shaped homogeneous density with its base along the pleural surface and its apex pointed toward the hilum representing pulmonary infarction) are the classic findings, but both findings have very low sensitivity and specificity. In addition to the other findings listed, parenchymal infiltrates, hilar or mediastinal enlargement, cardiomegaly, pleural effusions, pulmonary edema, and a prominent central pulmonary artery (Fleischner sign) may also be seen. None are sensitive or specific findings. ",
Which of the following is the correct diagnosis of the injury shown in given Image? ,Trigger finger ,Mallet finger ,Bennett fracture ,Jersey finger ,None of the above,B,"Mallet finger is a disruption of the extensor tendon at the level of distal interphalangeal (DIP) joint with or without an associated avulsion fracture of the dorsal base of the distal phalanx. It is caused by a flexion force on the volar tip with an extended DIP joint and may commonly occur during ball sports in which the participant may describe it as a jammed finger. Patients should be splinted in extension with either a padded aluminum splint applied to the dorsal aspect of the distal phalanx or an unpadded aluminum splint applied to its volar aspect. There is some disagreement regarding the optimal management of mallet finger when it involves a fracture. Some advocate operative repair if subluxation is present whereas other authors opt for splinting in extension for 6 to 8 weeks. (Figure from Harris JH, Harris WH. The Radiology of Emergency Medicine. 4th ed. Lippincott Williams & Wilkins; 1999:430, with permission.) ",t4-15.png
"A 22-year-old female presents with a 3-day history of a severe sore throat and painful swallowing. She has a muffled voice, but no respiratory distress. Examination reveals “two-finger” trismus, an erythematous pharynx, swelling of the left anterior pillar, and uvular deviation to her right. Which of the following is true? ",Fusobacterium species are the most commonly isolated organisms. ,This patient requires urgent tonsillectomy. ,Trismus is an uncommon finding that indicates extension of the infection to the deeper neck tissues. ,Most of these infections are polymicrobial. ,Absence of pus upon aspiration rules out the presence of an abscess. ,D,"This patient presents with a peritonsillar abscess (PTA). Polymicrobial infections are the rule in PTAs. Although Fusobacterium sp. is isolated, so are numerous other bacteria, principally group A β-hemolytic Streptococcus, S. aureus, and numerous anaerobes. While many patients with PTAs received immediate tonsillectomy in the past, currently either needle aspiration or incision and drainage, in concert with antibiotics, is considered effective therapy. Most of the debate in the management of PTAs focuses on the best drainage strategy. To date, the evidence does not clearly favor one method, and both methods appear to be effective. Drainage has historically been performed with the patient sitting upright to reduce the chance of aspiration but recent literature also supports a supine approach in Trendelenberg with the physician at the edge of the stretcher beyond the patient’s head (as is often done in dentistry). Suction equipment should also be assembled at the bedside to remove purulent debris. It is not possible to accurately differentiate between the presence of a PTA and peritonsillar cellulitis upon physical examination. Furthermore, because collections of pus may be highly viscous, a needle placed into the center of an abscess may not drain any material, resulting in a falsely negative aspirate. Patients with suspected PTAs but negative aspirates can undergo CT to determine if an abscess is present. Finally, trismus is a common finding among patients with a PTA, and its presence does not indicate extension of the infection to the deeper neck tissues. ",
The daughter of an 82-year-old female brings her mother in with a chief complaint of a “foreign body” in her vagina (see the given image). The patient had reported the uncomfortable sensation of sitting on a ball and of something “falling out” of her vagina. Which of the following is the next best step in management? ,Consultation with obstetrics and gynecology (OB-GYN) for immediate hysterectomy. ,Discharge the patient with a prescription for metronidazole and an appointment with OB-GYN in 2 days. ,Manually reduce the mass. ,Incision and drainage of the mass. ,None of the abov,C,"This image reveals uterine prolapse. There are no contraindications to the manual reduction of uterine prolapse, although attempts at reduction may not be successful. The primary indication for reduction is symptomatic improvement. After reduction, the patient should be fitted with a pessary to prevent recurrence. The pessary is a short-term solution that may serve as a bridge to surgical repair. Pessaries should not be used in the setting of concomitant genital tract infection. (Figure from Evans RJ, Brown YM, Evans MK. Canadian Maternity, Newborn & Women’s Health Nursing. 2nd ed. Philadelphia: Wolters, 2014.) ",t4-17.png
A 38-year-old female presents to the ED complaining of throat irritation and a 3-week history of an episodic spastic cough. The cough is worse at night and is occasionally so forceful that she vomits after she coughs. She is accompanied by her teenage son who has had a similar illness for 6 weeks without abating. She is a nonsmoker. What is the most likely cause of her illness? ,Corynebacterium diphtheriae ,Legionella pneumophila ,Bordetella pertussis ,M. pneumoniae ,S. pneumoniae ,C,"In symptomatic individuals, the most common manifestation of infection with B. pertussis is a prolonged, spasmodic cough that may last for several weeks. In adolescents and adults, the mean duration of illness is between 36 and 48 days. Despite widespread belief that childhood vaccination confers lifelong immunity, the last booster is given at age 4 to 6 in the United States, and it generally provides immunity until the age of 10 to 12 years. As a result, the CDC and the US Advisory Committee on Immunization Practices (ACIP) now recommends an acellular pertussis booster for all adults. The booster is given as part of a vaccine with diphtheria and tetanus (Tdap, commercially available as Adacel or Boostrix). In children, the classical pertussis infection occurs in three discrete phases: the catarrhal phase, paroxysmal phase, and convalescent phase. In adults, however, prolonged cough may be the only manifestation of infection. Between 70% and 99% of adolescents and adults have paroxysmal cough, associated with an inspiratory whoop in 8% to 82% of patients (i.e., highly variable), coughing during the night in 65% to 87% of patients, and post-tussive vomiting in 17% to 50%. Patients may also experience episodes of choking, sweating attacks, syncope, or encephalopathy. Erythromycin is the treatment of choice for symptomatic patients and for prophylaxis of asymptomatic patients who have come into contact with infected individuals. Antibiotics may reduce both the severity and duration of symptoms if they are given to affected patients within 1 week of the onset of symptoms. However, because B. pertussis has been isolated from affected individuals who are 3 weeks into their illness, treatment is recommended for all individuals who have had symptoms for 4 weeks or less. Such treatment is thought to decrease the carriage rate and shedding of the bacterium, thereby reducing transmission. High-risk personnel, including health care workers, or persons who may come into contact with infants of pregnant women in the third trimester, may receive treatment up to 6 to 8 weeks after developing symptoms. ",
Which of the following is true regarding prosthetic heart valves? ,Bioprosthetic (porcine) valves require anticoagulation therapy with Coumadin. ,Prophylactic anticoagulation should be maintained at international normalized ratios (INRs) between 1 and 2. ,Chronic hemolysis occurs in most patients. ,"In patients with mechanical valves, auscultation of a metallic closure sound indicates serious valvular dysfunction. ",Endocarditis develops in most patients. ,C,"A small degree of chronic hemolysis occurs in all patients, which in most cases is clinically insignificant if appropriate iron supplementation is instituted. Mechanical, not porcine, valves require anticoagulation with Coumadin, and the INR is generally kept between 2.5 and 3.5. Mechanical valves always have a metallic closure sound—absence of this sound indicates valve dysfunction. The risk of endocarditis depends on the length of time the valve is functioning but occurs in less than half the number of patients.  ",
A 11-year-old male presents after a motor vehicle collision. Primary survey is intact and vital signs are normal. Genitourinary examination is shown in Figure 4-Which of the following is the most appropriate next step in management? ,Foley catheter placement ,Retrograde urethrogram ,Retrograde cystogram ,Urinalysis ,Aspiration of the corpora cavernosa ,B,"This precludes placement of a Foley catheter by anyone but a urologist. Initially, a retrograde urethrogram is performed to evaluate for urethral injury. If this is normal, a Foley catheter may be placed and retrograde cystogram performed to evaluate for bladder rupture. Urinalysis in a trauma patient with grossly bloody urine is not helpful. Aspiration of the corpora cavernosa is indicated only in patients with priapism. (Figure Courtesy of Figueroa TE. In: Chung EK, Atkinson-McEvoy LR, Boom JA, Matz PS, eds. Visual Diagnosis and Treatment in Pediatrics. 2nd ed. Philadelphia: Wolters Kluwer, 2010.) ",t4-20.png
Which of the following is true regarding transverse myelitis? ,Older adults represent the majority of cases ,Cerebrospinal fluid (CSF) glucose is usually elevated ,Albuminocytologic dissociation is usually present ,Bilateral clinical findings are common ,Cord compressive lesion is evident ,D,"Patients with transverse myelitis usually have bilateral clinical findings referable to one or two discrete spinal levels. Children and younger adults represent the majority of cases. CSF is totally normal in about half of cases, and CSF glucose is almost always normal. Albuminocytologic dissociation, referring to elevated CSF protein in the absence of CSF pleocytosis, is seen more commonly in variants of Guillain–Barre syndrome than tranverse myelitis, which usually exhibits a mild–moderate, CSF lymphocytosis. A compressive lesion of the spinal cord by definition excludes the possibility of transverse myelitis. ",
Which of the following is the average duration of a typical generalized tonic–clonic seizure? ,15 seconds ,30 seconds ,1 minute ,2 minutes ,3 minutes ,C,"Electroencephalogram (EEG) changes last for an average of 59.9 seconds (standard deviation of 12 seconds), whereas behavioral changes last for 52.9 to 62.2 seconds (with a standard deviation of 14 seconds). Therefore, a seizure that has lasted for 5 minutes is more than 17 standard deviations longer than the “typical” seizure. This is partly why status epilepticus is now “operationally” defined as any seizure lasting 5 minutes. The traditional definition has been any seizure lasting 30 minutes or recurrent seizures without an interictal return to baseline mental status. ",
Which of the following routes of administration causes the fastest onset of action of cocaine?,Intranasal ,Sublingual ,Oral ,Inhalation ,Transdermal ,D,"Cocaine may be taken in a variety of routes, most commonly intranasal and inhalational (crack). Inhalational and intravenous use causes the quickest onset of action, followed by intranasal, and then oral. The duration of action is longest in oral, followed by intranasal, then intravenous/inhalational. The transdermal route is not used for cocaine abuse. ",
"While working in the ED, a paramedic calls from emergency medical services (EMS) to provide a mass casualty alert from a local stadium. Many fans watching a basketball game in a small arena became suddenly ill, and several slumped to the ground and either lost consciousness or seemed to be “convulsing.” The building was rapidly evacuated. Ambulatory evacuees complained of severe headache, diaphoresis, excessive “spit” and runny nose, as well as shortness of breath with a frothy cough, nausea, vomiting, and muscle aches. Though several survivors noted a “mist” coming from some of the vents inside the building, there was no significant odor noted. In addition to high-flow oxygen, which of the following is the best course of treatment among survivors? ",Pralidoxime (PM) and atropine ,Amyl nitrite ,Sodium thiosulfate and sodium nitrite ,Diazepam and atropine ,Succinylcholine and etomidate for rapid sequence intubation ,A,"The patients described in this vignette are suffering from a cholinergic syndrome. The nerve agents sarin, VX, tabun, and soman are all organophosphorus compounds that strongly inhibit acetylcholinesterase resulting in symptoms of acetylcholine excess. The classic mnemonic used to recall the symptoms of a cholinergic toxidrome is SLUDGE: salivation, lacrimation, urination, defecation, gastrointestinal upset, and emesis. The “SLUDGE” mnemonic does not address the pulmonary muscarinic effects (bronchorrhea, bronchospasm), cardiac muscarinic effects (bradycardia), nor the nicotinic effects in the central nervous system (muscle weakness, fasciculations, and flaccid paralysis). For this reason, the “SLUDGE” mnemonic is sometimes appended as “SLUDGE/BBB” for bronchospasm, bronchorrhea, and bradycardia. There are several alternative mnemonics as well (e.g., DUMBELS). Since these drugs work through excessive acetylcholine action, atropine is the natural antidote and should be given immediately to any patient with evidence of moderate or more severe toxicity. The dose is titrated until the pulmonary symptoms are resolved (no shortness of breath, no wheezing, no excessive secretions). If initial doses of atropine are ineffective, the dose should be doubled every 3 to 5 minutes and repeated. 2-PAM is used to address the nicotinic effects of these agents, since atropine does not bind to nicotinic receptors. Like atropine, 2-PAM should be used liberally and should be given to any patient with evidence of toxicity. Even in the absence of significant acute toxicity, many nerve agents cause delayed neurologic effects which may be prevented by 2-PAM administration. In addition, 2-PAM should be given early because the nerve agents become irreversibly bound to acetylcholinesterase over time (called “aging”). Both atropine and 2-PAM can be given IV or IM. Since succinylcholine is metabolized by acetylcholinesterase, it should never be used for airway management in patients with organophosphate toxicity, as its use results in prolonged and excessive paralysis. Diazepam is used to treat the seizures that may occur. Sodium thiosulfate is used for cyanide intoxication while amyl and sodium nitrite are used for either cyanide or hydrogen sulfide exposure. ",
In which of the following hematologic malignancies is a hyperviscosity syndrome (leukostasis) due to elevated numbers of WBCs most likely to occur? ,Acute lymphoblastic leukemia (ALL) ,Chronic myelogenous leukemia (CML) ,Non-Hodgkin lymphoma ,Acute myelogenous leukemia (AML) ,Chronic lymphocytic leukemia (CLL) ,D,"Leukocytosis refers to an elevated number of WBCs in the peripheral blood. Hyperleukocytosis is a severely elevated number of WBCs and is variably defined as a WBC count >50 × 109 per L or >100 × 109 per L. While hyperleukocytosis occurs in several hematologic malignancies, leukostasis is a relatively uncommon phenomenon, with the exception of patients with AML. Leukostasis is technically a pathologic diagnosis reflecting microvasculature occlusion due to WBC plugs. The exact pathophysiology is not certain, but hyperviscosity is responsible for part of the phenomenon. Interestingly, however, while patients with ALL, CML, and CLL frequently have hyperleukocytosis in excess of 100 × 109 per L, they only rarely suffer from leukostasis, except in patients with CML who are in blast crisis (evolution to AML). Clinically, patients with leukostasis most commonly present with symptoms related to lung and brain involvement, such as shortness of breath with pulmonary infiltrates, and headache, vision and hearing changes, confusion, dizziness, ataxia, and variable degrees of mental status changes. ",
Which of the following is true regarding interpersonal violence and intimate partner abuse (IPA)? ,Most violence against women is perpetrated by strangers. ,Most of the violence against men is perpetrated by intimate partners. ,Less than 1% of all men report an incident of IPA. ,Victim substance abuse contributes to IPA. ,Most patients will not report IPA unless directly asked. ,E,"IPA encompasses the following old terms—domestic violence, domestic abuse, and spousal abuse. It is likely to be vastly under-reported by both men and women. ED patients are at high risk for being victims of IPA, but large majority of patients will not report IPA unless specifically asked by a care provider in the absence of their intimate partners. Screening of all patients is the only way to accurately evaluate IPA among ED patients. Most violence against women is perpetrated by intimate partners, but most violence against men is perpetrated by strangers. Almost one-fourth of women and 10% of men of all sexual orientations report an incident of IPA. Victim substance abuse is a marker for IPA but is not thought to contribute to IPA—perpetrator substance is known to contribute to IPA. ",
A 42-year-old male presented for evaluation of posterior shoulder pain after a fall backward from a ladder. X-rays reveal a scapular fracture. Which of the following is true? ,Associated thoracic injury is usually more serious than the fracture itself. ,Operative repair is usually required. ,Avascular necrosis of the humeral head is a common complication. ,The arm is usually held in full abduction at presentation. ,Associated contralateral scapular fracture is common. ,A,"Scapular fractures occur in patients with high-force blunt trauma such as motor vehicle crashes or falls from heights. Because of its well-protected position, isolated fracture of the scapula is rare, and associated injuries to the chest and upper extremity are present in the large majority of cases. Operative repair of the scapular fracture is not usually necessary as most patients heal with conservative management and range-of-motion exercises. Patients with scapular fractures hold their ipsilateral arm in full adduction and any movement elicits extreme pain. Bilateral scapular fracture is uncommon and usually signifies life-threatening injuries. ",
"Among close contacts of a patient diagnosed with meningitis caused by Neisseria meningitidis, what is the approximate likelihood of transmission without prophylactic antibiotic therapy? ",<1% ,5% ,25% ,50% ,90% ,A,"Even among close contacts of patients with meningitis caused by N. meningitidis, the approximate rate of transmission is only 1 in 250 (0.4%). While this rate is very small, it is 500 to 800 times larger than the likelihood of infection in the general population. ",
"When evaluating and managing patients with unstable pelvic fractures, pelvic binders: ",Should never be used ,Should be applied over the bilateral greater trochanters extending above the umbilicus ,Help to control arterial bleeding ,Are as effective as external fixation in controlling bleeding ,Have more complications than military antishock trousers ,D,"Pelvic binders are a fast, easy, effective means to limit pelvic bleeding in patients with unstable pelvic fractures. Traditionally, a bedsheet wrapped around the pelvis has been used to compress the pelvis in an effort to limit bleeding. However, there are a number of commercial devices available as well. Binding the pelvis has been thought to reduce pelvic volume, which lays the groundwork for tamponade of ongoing venous bleeding. However, their use achieves relatively modest pelvic volume reduction and may disrupt the retroperitoneum which diminishes the tamponade effect. Thus, it is now thought that binders decrease hemostasis primarily by decreasing pelvic motion of unstable bony fragments by a splinting mechanism. Regardless of the exact etiology, binders are associated with decreased blood transfusions and shorter intensive care unit (ICU) stays and are at least as effective as external fixators in controlling venous hemorrhage. Neither modality is effective in controlling arterial hemorrhage. Binders are placed over the greater trochanters to the iliac crests, such that the superior margin of the binder should lie inferior to the umbilicus. The use of military antishock trousers prevents vascular access and is associated with complications without clear benefit, so their use is discouraged. ",
Which of the following is the most characteristic finding on funduscopic examination for central retinal artery occlusion? ,Pale gray retina with cherry red fovea ,Cloudy cornea with mid-dilated pupil ,Disc edema with tortuous veins ,Reddish haze with black reflex ,Grayish-green subretinal membrane ,A,,
Which of the following is true regarding isopropanol poisoning? ,Blood urea nitrogen (BUN) may be falsely elevated. ,Ketosis without acidosis is the characteristic lab abnormality. ,Elevated anion gap is seen in most patients. ,Ocular accumulation causing blindness is the typical pathophysiologic finding. ,Fomepizole should be administered empirically in patients with high suspicion of isopropanol poisoning. ,B,"Most ingested isopropanol is converted to acetone by hepatic alcohol dehydrogenase. Acetone is a ketone body, but is not acidic or charged, and does not contribute to the anion gap. Ketosis without acidosis is the characteristic finding in patients with isopropanol poisoning. Serum creatinine, not BUN, may be falsely elevated because of laboratory interference by acetone. Choice D is seen with methanol poisoning. Fomepizole is not indicated, as the metabolites of isopropanol, like the parent compound, cause generalized central nervous system (CNS) depression without other major organ system effects. Dialysis may be indicated to treat extremely severe poisoning. ",
"A 28-year-old male presents with an acute, progressively worsening headache and fever for 1 day. Physical examination reveals a toxic-appearing, slightly confused patient with fever and meningismus. Which of the following is the most appropriate next step in management? ",CT brain without contrast ,CT brain with contrast ,Lumbar puncture ,Ceftriaxone and vancomycin ,"Ceftriaxone, vancomycin, and dexamethasone ",E,"The patient has clear evidence of meningitis. The acute onset, progressive nature, and severe symptoms all indicate a likely bacterial cause. With evidence of alteration in mental status, CT scan before lumbar puncture may be advisable. However, in cases where bacterial meningitis is clinically suspected, antibiotics should be administered before the patient is sent to CT scan or lumbar puncture is performed. Additionally, adult patients with suspected bacterial meningitis should receive dexamethasone with or before the first dose of antibiotics. ",
Which of the following is true regarding control of hypertension and stroke? ,Patients with both ischemic and hemorrhagic strokes should have their BP reduced to an SBP of 140 to 160 mm Hg or prestroke levels. ,BP should not be controlled in any stroke patient unless the patient is a candidate for tissue plasminogen activator (tPA). ,Only patients with ischemic infarcts should have their BP reduced to a target SBP of 140 to 160 mm Hg or prestroke levels. ,Only patients with intracerebral hemorrhage should have their BP reduced to a target SBP of 140 to 160 mm Hg or prestroke levels. ,All stroke patients who experience clinical deterioration in the ED should have emergent BP control to a target SBP of 140 to 160 mm Hg or prestroke levels. ,D,"Patients with ischemic stroke should not have their BP reduced unless they are either candidates for tPA, have concomitant aortic dissection, MI or renal failure, or their pressure is above 220/120 mm Hg. In fact, hypertension is probably neuroprotective in patients with ischemic stroke by ensuring that cerebral perfusion pressure is maintained. In contrast, patients with hemorrhagic stroke should have their BP reduced to a target SBP of 140 to 160 mm Hg (or the patient’s prestroke level if it is higher). Lowering the BP in such patients may reduce the stimulus for bleeding and prevent hematoma expansion. Because prognosis in patients with intracerebral hemorrhage is tightly linked to hematoma volume, strict BP control may have a dramatic positive effect in such patients. ",
"A 34-year-old male with AIDS presents with cough, malaise, and exertional dyspnea for 8 days. He stopped his highly active antiretroviral therapy several weeks prior due to side effects. His vital signs are 100.4°F, 95, 22, 165/85, 95% RA. Chest radiography shows an interstitial pneumonia pattern. Which of the following is the most appropriate treatment? ",Clindamycin ,Trimethoprim–sulfamethoxazole ,Doxycycline ,Piperacillin–tazobactam ,Primaquine ,B,"The patient likely has pneumocystis pneumonia (PCP). Pneumocystis is a fungal opportunistic infection commonly seen in AIDS patients when the CD4 count drops below 250 cells per mcL. Exertional dyspnea (rather than dyspnea at rest), nonproductive cough, low-grade fevers, and malaise in an acute or subacute pattern are characteristic. Chest radiographs usually show an interstitial pneumonia pattern but can be completely normal in up to one-third of cases. First-line treatment of Pneumocystis pneumonia is with trimethoprim–sulfamethoxazole. Supplemental corticosteroid therapy is added to improve outcomes if the PaO2 is less than 70 mm Hg. Clindamycin plus primaquine is third-line therapy, after pentamidine. Doxycycline represents excellent monotherapy for CAP in the young adult but does not adequately treat Pneumocystis pneumonia. Piperacillin–tazobactam possesses broad-spectrum coverage for most intra-abdominal and nosocomial infections but is not indicated for treatment of Pneumocystis pneumonia. ",
"3Upon starting your shift, you receive sign-out on a 46-year-old male diabetic patient who is being treated with an intravenous insulin drip for diabetic ketoacidosis (DKA). Two hours later, a repeat chemistry panel reveals the following: Na+ 141 mEq/L, Cl- 112 mEq/L, HCO3- 17 mEq/L, blood urea nitrogen (BUN) 16 mg/dL, creatinine 0.9 mg/dL, glucose 278 mg/dL. Which of the following is true? ",The patient has a mixed high anion gap (AG) ketoacidosis and nonanion gap hyperchloremic metabolic acidosis (HCMA). ,He should be given subcutaneous insulin and his insulin infusion can be discontinued after 30 to 60 minutes. ,His DKA is not yet resolved and he requires an ongoing intravenous insulin infusion. ,The patient should be given bicarbonate replacement therapy. ,A repeat arterial blood gas (ABG) should be performed to guide further therapy. ,B,"This patient’s AG is 12, which is normal. Assuming that the patient has a normal albumin concentration (the major contributor to the AG in healthy patients), the normal AG reflects a resolution of the ketoacidosis. If substantial ketoacids were still present, the AG would be persistently elevated and the patient would require an ongoing insulin infusion. The persistently low bicarbonate signifies that a metabolic acidosis is still present, but it is an HCMA (nonanion gap). The development of an HCMA is a common complication of DKA therapy. This is partly due to the infusion of a large volume of saline, which contains chloride in concentrations far greater than plasma (154 mEq/L). Another major contributor is the loss of ketoanions in the urine that would normally serve as precursors for bicarbonate regeneration. The development of HCMA is benign and requires no therapy. In the setting of normal renal function, it will resolve spontaneously over the next 24 hours due to increased renal acid secretion. Subcutaneous insulin should always be overlapped with an insulin infusion when discontinuing continuous insulin therapy. ",
"A 4-year-old male presents with progressive periorbital edema, weight gain, anorexia, and nausea for several weeks. Hypertension is noted on physical examination. Urinalysis demonstrates 4+ protein. Which of the following is most likely to be present in this patient? ",Hyperalbuminemia ,Thrombophilia ,Hypotriglyceridemia ,Urinary bacteria ,Gross hematuria ,B,"The patient has evidence of nephrotic syndrome with proteinuria accompanied by generalized fluid overload and nonspecific constitutional symptoms. Periorbital edema is often the first location where fluid overload is noted. Frank renal failure does not usually occur in patients with nephrotic syndrome. In children, minimal change disease is the most common cause. Hypoalbuminemia, thrombophilia, and hyperlipidemia are characteristic. Urinary tract infections (UTIs) are unrelated. Although microscopic hematuria may be present, gross hematuria is rare and suggests glomerulonephritis, infection, stone, tumor, or extrarenal cause. Acute management generally involves careful fluid resuscitation, systemic corticosteroid therapy, and admission for observation and possible renal biopsy. ",
"A 12-year-old female is brought in by EMS after a gunshot wound. The patient was injured incidentally when her older brother was “showing off” his gun to his friends. She presents with two soft-tissue wounds to her right leg, with significant swelling about the right knee. An x-ray demonstrates a small amount of shrapnel, and a small fracture to the distal cortex of her femur. Clinically, there is expanding, nonpulsatile, swelling in the area of the knee. Which of the following is the next best step? ",Take her to the operating room (OR) for vascular repair ,CT angiography of the leg ,Take her to the OR for open reduction and internal fixation of her femur ,Ultrasound of the leg ,Angiography of the leg ,A,"The presence of a large, expanding hematoma is a classic “hard sign” of vascular injury. When a hard sign of vascular injury is present, ancillary studies such as CT angiography, angiography, or ultrasound are unnecessary and delay definitive treatment. Other hard signs of injury include obvious pulsatile bleeding, a pulseless extremity, a bruit or thrill over the vessel, and shock with a presumed vascular injury and no alternative explanation. In the setting of an injured leg with “soft signs” of injury, such as a small, nonpulsatile hematoma, an associated peripheral nerve deficit (due to the proximity of nerves to vascular structures in the neurovascular bundle), or a diminished distal pulse or decreased ankle–brachial index (ABI), imaging should be performed. In such cases, CT angiography is rapidly becoming the gold standard, although ultrasound may be useful in select cases of pregnant women and children to avoid radiation. ",
"A 22-year-old female presents after a drug overdose in a suicide attempt. She states she took 60 of her fluoxetine tablets 2 hours before presentation. She is asymptomatic, awake, and alert, and vital signs and physical examination are normal. Which of the following is true regarding this patient? ",Death from dysrhythmia is the most likely outcome. ,Ipecac is indicated to prevent gastric absorption. ,Cyproheptadine has not been proven to improve outcomes. ,Sodium bicarbonate should be used for ventricular dysrhythmias. ,Hemodialysis may be helpful in massive overdos,C,"Fluoxetine is a type of selective serotonin reuptake inhibitor (SSRI). As a class, SSRIs are generally benign in overdose, causing mild GI and CNS symptoms and rarely leading to dysrhythmias. Cyproheptadine is a serotonin antagonist that has unproven clinical efficacy in most SSRI overdoses. Its use is mainly limited to patients with serotonin syndrome, a constellation of neurologic, GI, and cardiac findings. Dysrhythmia is rare and should be treated according to current ACLS guidelines. Unlike with tricyclic antidepressant overdose, there is no indication for routine use of sodium bicarbonate to treat dysrhythmias. As in virtually all overdoses, ipecac is not recommended as a method of gastric decontamination. Hemodialysis is not indicated in patients with SSRI overdose, as the drug is highly bound to plasma proteins. ",
